Real duration,Prediction duration
2298.0,1761.5163763165474
1710.0,1817.9505555033684
1333.0,2099.6852177381516
202.0,1776.8643546402454
2250.0,1732.957508802414
1691.0,1768.9414690732956
1688.0,1806.6165134906769
1967.0,1555.6913719773293
2132.0,1778.3158251047134
1746.0,1730.0436023175716
196.0,1751.2867069244385
1529.0,1785.5787144899368
1907.0,1729.7926973700523
1926.0,1465.1679937243462
1979.0,1687.5998439192772
1707.0,1799.8908277750015
1515.0,1743.028774768114
1384.0,1730.4203397333622
2135.0,1813.6596574783325
2312.0,1813.332427918911
2428.0,1752.8679183721542
1699.0,1756.084409058094
2080.0,2042.4369817376137
657.0,1859.3293521404266
928.0,1691.9465468525887
1809.0,1929.7300667464733
1832.0,1720.2558122575283
2275.0,1770.240724593401
2216.0,1799.4989991486073
1563.0,1787.8139507770538
2148.0,1788.707915008068
1096.0,1758.246469259262
2088.0,1743.8527114391327
1953.0,1669.7227306962013
1418.0,1807.7066634595394
2133.0,1814.72255641222
1519.0,1752.275235503912
1792.0,1755.552633881569
2794.0,1802.664787709713
1433.0,1685.0276067852974
2600.0,1812.0331723988056
1150.0,1756.3195713758469
1735.0,1885.2107783257961
1422.0,1737.5028945803642
2113.0,1827.7042546272278
1447.0,1832.9200592935085
3121.0,1860.3232006430626
1729.0,1774.2968945801258
1499.0,1854.958438128233
1816.0,1776.3029398918152
1817.0,1884.2587292194366
1743.0,1804.039065003395
1755.0,1764.06559664011
2391.0,1799.8306800723076
1715.0,1921.2597719430923
1377.0,1808.1544055640697
1472.0,1819.6151486039162
938.0,1943.4060692191124
1734.0,1747.7655692100525
988.0,1709.4959962368011
1527.0,1689.0889881253242
2402.0,1890.8349142372608
2447.0,1810.356528043747
1468.0,1792.1830191016197
1389.0,1773.377199292183
2073.0,1862.6472470760345
1926.0,1788.9574085474014
1666.0,1794.946773469448
1911.0,1643.0361504256725
1584.0,1864.5806591510773
1624.0,1868.1073339283466
1732.0,1675.4867045879364
2066.0,1841.4000168144703
1743.0,1458.6095055937767
1533.0,1489.5805782675743
1970.0,1760.5789841413498
1740.0,2095.495072543621
2050.0,1728.2094230949879
1119.0,2004.2427562475204
1874.0,1858.1068555116653
1837.0,1892.1075701415539
1305.0,1733.890015333891
2288.0,1571.6178105175495
1819.0,1797.9940037429333
1204.0,1790.184465110302
3116.0,1802.7944201231003
